"","Year","Total_Rainfall_mm","Mean_Temp_Celsius","Num_Fires","Acres_Burned","Extreme_Heat_Wave","High_Unemployment"
"1",1929,661.4965,6.59680916666667,134895,46230000,FALSE,FALSE
"2",1930,584.3656,6.76351916666667,190980,52266000,TRUE,TRUE
"3",1931,602.9163,7.59188666666667,187214,51607000,TRUE,TRUE
"4",1932,656.4781,6.50378416666667,166399,42063000,FALSE,TRUE
"5",1933,581.0911,6.88629666666667,140722,43890000,TRUE,TRUE
"6",1934,558.2749,7.8257775,162663,41821000,TRUE,TRUE
"7",1935,637.67,6.7816275,140297,30335000,FALSE,TRUE
"8",1936,598.3528,7.0400975,226285,43207000,TRUE,TRUE
"9",1937,639.6989,6.88270333333333,185209,21981000,FALSE,TRUE
"10",1938,646.2285,7.53703166666667,232229,33815000,FALSE,TRUE
"11",1939,581.9085,7.29646916666667,212671,30449000,FALSE,TRUE
"12",1940,646.7401,7.35900416666667,195427,25848000,TRUE,TRUE
"13",1941,685.1752,7.4317475,199702,26405000,FALSE,TRUE
"14",1942,676.6142,7.06409083333333,208218,31854000,FALSE,FALSE
"15",1943,594.8101,7.1275975,210326,32333000,FALSE,FALSE
"16",1944,663.6323,7.02974083333333,131229,16549000,FALSE,FALSE
"17",1945,711.7366,6.70096666666667,124728,17681000,FALSE,FALSE
"18",1946,662.0236,7.08660666666667,172278,20691000,FALSE,FALSE
"19",1947,631.2297,6.8996075,200799,23226000,FALSE,FALSE
"20",1948,657.1823,6.39839833333333,174189,16557000,FALSE,FALSE
"21",1949,651.8203,6.9250225,193774,15397000,FALSE,TRUE
"22",1950,639.2081,6.64398083333333,208402,15519000,FALSE,FALSE
"23",1951,671.4854,6.39262583333333,164090,10781000,FALSE,FALSE
"24",1952,584.0461,6.99623916666667,188277,14187000,FALSE,FALSE
"25",1953,605.2508,7.53847,154160,9976000,FALSE,FALSE
"26",1954,577.9885,7.3050325,176891,8833000,TRUE,FALSE
"27",1955,613.1042,6.39840083333333,145180,8069000,FALSE,FALSE
"28",1956,561.9817,6.5002175,143485,6606000,FALSE,FALSE
"29",1957,694.6688,7.23334833333333,83392,3410000,FALSE,TRUE
"30",1958,638.2453,7.10468916666667,97910,3280000,FALSE,TRUE
"31",1959,651.5505,6.75164166666667,104662,4156000,FALSE,TRUE
"32",1960,628.1195,6.78831833333333,103387,4478188,FALSE,TRUE
"33",1961,678.3268,6.53754333333333,98517,3036219,FALSE,TRUE
"34",1962,620.0738,6.96818416666667,115345,4078894,FALSE,TRUE
"35",1963,586.611,7.10830416666667,164183,7120768,FALSE,TRUE
"36",1964,637.7384,6.35692333333333,116358,4197309,FALSE,FALSE
"37",1965,659.7203,6.56200333333333,113684,2652112,FALSE,FALSE
"38",1966,585.5007,6.3571625,122500,4574389,FALSE,FALSE
"39",1967,648.2838,6.91551333333333,125025,4658586,FALSE,FALSE
"40",1968,633.3162,6.5427625,125371,4231996,FALSE,FALSE
"41",1969,633.7957,6.81620583333333,113351,6689081,FALSE,FALSE
"42",1970,634.0253,6.70676166666667,121736,3278565,FALSE,TRUE
"43",1971,648.0771,6.3155075,108398,4278472,FALSE,TRUE
"44",1972,664.4518,6.30942833333333,124554,2641166,FALSE,TRUE
"45",1973,726.2536,6.88752833333333,117957,1915273,FALSE,FALSE
"46",1974,645.3017,6.71361666666667,145868,2879095,FALSE,TRUE
"47",1975,694.1407,6.3023825,134872,1791327,FALSE,TRUE
"48",1976,570.13,6.65006166666667,241699,5109926,FALSE,TRUE
"49",1977,651.9406,7.30898333333333,173998,3152644,FALSE,TRUE
"50",1978,647.7147,6.92793166666667,218842,3910913,FALSE,TRUE
"51",1979,700.2613,6.68890666666667,163196,2986826,FALSE,TRUE
"52",1980,618.8531,7.15595083333333,234892,5260825,TRUE,TRUE
"53",1981,657.5651,7.86070166666667,249370,4814206,FALSE,TRUE
"54",1982,731.7122,6.47836916666667,174755,2382036,FALSE,TRUE
"55",1983,727.1622,6.97106166666667,18229,1323666,FALSE,TRUE
"56",1984,665.332,6.77008,20493,1148409,FALSE,TRUE
"57",1985,661.6393,6.57842083333333,82591,2896147,FALSE,TRUE
"58",1986,680.2056,7.54175666666667,85907,2719162,FALSE,TRUE
"59",1987,631.5632,7.71805833333333,71300,2447296,FALSE,TRUE
"60",1988,574.5156,7.33440833333333,72750,5009290,TRUE,TRUE
"61",1989,652.5451,6.8528025,48949,1827310,FALSE,TRUE
"62",1990,710.8642,7.45119583333333,66481,4621621,FALSE,TRUE
"63",1991,682.1661,7.56583166666667,75754,2953578,FALSE,TRUE
"64",1992,677.799,7.06914583333333,87394,2069929,FALSE,TRUE
"65",1993,707.1948,7.09632333333333,58810,1797574,FALSE,TRUE
"66",1994,666.5858,7.3768625,79107,4073579,FALSE,TRUE
"67",1995,678.8468,7.48387833333333,82234,1840546,FALSE,TRUE
"68",1996,701.1097,6.73062666666667,96363,6065998,FALSE,TRUE
"69",1997,668.5431,7.09064416666667,66196,2856959,FALSE,FALSE
"70",1998,719.7019,8.0975725,81043,1329704,FALSE,FALSE
"71",1999,623.4622,7.28650583333333,92487,5626093,FALSE,FALSE
"72",2000,627.9306,7.49629833333333,92250,7393493,FALSE,FALSE
"73",2001,630.4358,7.63321833333333,84079,3570911,FALSE,TRUE
"74",2002,626.6892,7.794915,73457,7184712,FALSE,TRUE
"75",2003,657.8423,7.7297825,63629,3960842,FALSE,TRUE
"76",2004,699.1111,7.71354333333333,65461,8097880,FALSE,TRUE
"77",2005,657.0312,7.93103333333333,66753,8689389,FALSE,FALSE
"78",2006,646.1394,7.97166916666667,96385,9873745,TRUE,FALSE
"79",2007,623.8058,7.87938,85705,9328045,FALSE,FALSE
"80",2008,670.1585,6.9901875,78979,5292468,FALSE,TRUE
"81",2009,675.9338,7.167375,78792,5921786,FALSE,TRUE
"82",2010,665.233,7.59125,71971,3422724,FALSE,TRUE
"83",2011,672.7666,7.54814,74126,8711367,TRUE,TRUE
"84",2012,625.871,8.17390916666667,67774,9326238,TRUE,TRUE
"85",2013,701.8828,7.32943833333333,47579,4319546,FALSE,TRUE
"86",2014,684.3834,7.78237,63312,3595613,FALSE,TRUE
"87",2015,761.5909,8.48125333333333,68151,10125149,FALSE,FALSE
